ID,Type,Age (Years),Age (Months),Date of Birth,Number of Teats
33919125,Cow,8,2,2016-07-19,3
48952993,Cow,10,3,2014-06-20,4
84291962,Cow,5,10,2018-11-21,4
15574685,Cow,10,6,2014-03-22,4
68580017,Cow,3,8,2021-01-19,4
47406050,Cow,6,0,2018-09-17,3
93945900,Cow,9,10,2014-11-22,4
34692818,Cow,3,3,2021-06-18,3
54107969,Cow,8,7,2016-02-20,3
49058709,Cow,0,9,2023-12-20,4
10724922,Cow,10,2,2014-07-20,4
94832211,Cow,0,11,2023-10-21,4
83227089,Cow,1,0,2023-09-16,4
17576388,Cow,0,4,2024-09-15,4
56613940,Cow,7,3,2017-06-19,3
24827134,Goat,,,,
36452976,Goat,,,,
